id,input,prediction,ground_truth
0,"كل ما هو آت صحيح عن محفظة بومان ما عدا:

A) تتداخل الاستطالات القدمية مع بعضها لتشكيل شقوق الرشح
B) تتصل المسافة المحفظية بجوفها مع لمعة الأنبوب للقريب
C) تعطي الوريقة الحشوية استطالات ترافق تفرعات الاوعية
D) ترسل الخلايت تلقدمية استطالات سيتوبلاسمية باتجاه المسافة المحفظية",,D
1,"كل ما يلي صحيح عن السفلس ماعدا:

A) يتميز الطور الاول بسلبية الاختبارات المصلية
B) يتميز الطور الاول بقرحة صلبة مؤلمة غلى الاعضاء التناسلية
C) يتميز الطور الثاني باندفاعات على الجلد والاغشية المخاطية
D) %25 من الاجنة تموت بعد الوالدة من ام مصابة
E) يعاني الطفل ألمصاب بالزهري الخلقي من اسنان هوتشنسن",,B
2,"من العلاجات التلطيفية للحبن الخبيث:

A) المعالجة الكيميائية للورم البطني
B) المعالجة الشعاعية للبطن
C) المدرات
D) البزل المتكرر
E) تحويلة بريتوانية وريدية",,D
3,"أي مما يلي تستبعد إصابته في الجحوظ الورمي:

A) العصب البصري
B) العصب الثالث
C) العصب السادس
D) العصب العاشر
E) كل ما سبق لا يصاب",,D
4,"كل ما يلي صحيح عن المساريقا ما عدا:

A) طبقة وحيدة من البريتوان
B) تؤمن مرور الاعصاب والاوعية للاحشاء
C) يتشكل الرباط المنجلي من المساريقا البطنية
D) يتشكل الثرب الكبير من المساريقا الظهرية للمعدة
E) مساريقا الصائم اللفائفي هي مساريقا ظهرانية",,A
5,"من مكونات الجريبات المبيضية وتفرز ال androstenadione:

A) الخلايا الجريبية
B) الخلايا الحبيبية
C) خلايا القراب الداخلي
D) خلايا القراب الخارجي
E) الخلية البيضية الأولية",,C
6,"الدانترولين يملك تأثير:

A) مرخّي للعضلات الملساء
B) مرخّي للعضلات الهيكلية
C) مثبط للفوسفو داي إستراز
D) معاكسا لعمل الهيبارين
E) مشابه لتأثير البابا فيرين",,B
7,"يتحرر الأستيل كولين من الأماكن التالية عدا:

A) جميع العصبونات قبل العقدة في الجهاز العصبي المستقل
B) جميع العصبونات بعد العقدة في القسم اللاودي
C) العصبونات بعد العقدة في القسم الودي المعصب للغدد العرقية
D) العصبونات بعد العقدة في القسم الودي المعصب للغدد اللعابية",,D
8,"ما يلي حول التهاب الكبد المزمن المرتقي الفعال صحيح ما عدا:

A) قد توجد ضخامة كبدية وطحالية
B) النمط المنيع للذات أكثر شيوعاً لدى الذكور
C) من الأعراض: وهن عام وتعب، مع وجود آلام مفصلية
D) في الغالب يكون إنذار هذه الحالات سيئا",,B
9,"كل العوامل التالية تزيد امتصاص الحديد عدا:

A) الإريثروبويتين
B) انخفاض ph الوسط المعوي
C) C الفيتامين
D) الكالسيتونين",,D
10,"التبادل المتبادل بين الكروموسوم 8 و 14 يسبب:

A) لمفوما مانتيل
B) لمفوما بوركت
C) لمفوما هودجكن
D) نقيوم متعدد
E) ابيضاض لمفاوي حاد",,B
11,"في حال حدوث خلل اثناء التشكل الجنيني اي من البنى التالية تشكل ناسور مع الرغامى:

A) الأبهر
B) ألحجاب الحاجز
C) المري
D) التامور
E) الرغامى",,C
12,"تتصف العصيدة الشريانية بما يلي عدا:

A) هي تثخن موضعي في طبقة ال Media
B) تكاثر الخلايا العضلية الملساء
C) ترسب الكولسترول في ال Macrophages
D) الأول والثاني",,A
